cost_city,costs_country,rent_1br_pln,food_monthly_pln,utilities_monthly_pln,transport_monthly_pln,total_monthly_pln,avg_salary_pln,rent_to_salary_pct,data_source
Warsaw,Poland,2667,1100,362,110,4491,5655,47.2,numbeo_city
Innsbruck,Austria,3360,2010,422,243,6473,8872,37.9,numbeo_city
Gliwice,Poland,1733,779,378,99,3199,4299,40.3,numbeo_city
Bucharest,Romania,1499,1331,211,76,3335,4202,35.7,numbeo_city
Milton Keynes,United Kingdom,4662,2141,410,341,8014,14686,31.7,numbeo_city
Dortmund,Germany,1714,1589,524,327,4594,11739,14.6,numbeo_city
Wurzburg,Germany,2445,1411,578,270,5077,9816,24.9,numbeo_city
Bournemouth,United Kingdom,4099,2810,289,330,7958,10338,39.7,numbeo_city
Oradea,Romania,863,1046,136,76,2297,2368,36.4,numbeo_city
Strasbourg,France,2629,1963,332,248,5578,11972,22.0,numbeo_city
Basel,Switzerland,5403,3519,511,380,10485,27670,19.5,numbeo_city
Huddersfield,United Kingdom,2432,1675,312,297,5053,10811,22.5,numbeo_city
Kaliningrad,Russia,1441,1245,216,111,3216,2720,53.0,numbeo_city
Samara,Russia,1159,1327,196,146,3027,2959,39.2,numbeo_city
Canterbury,United Kingdom,3153,1945,588,505,6657,11759,26.8,numbeo_city
Lodz,Poland,1782,799,343,126,3285,4076,43.7,numbeo_city
Leon,Spain,1792,1472,237,105,3920,9021,19.9,numbeo_city
Espoo,Finland,3873,2337,192,290,7115,13493,28.7,numbeo_city
Trondheim,Norway,3981,2669,286,389,7912,17535,22.7,numbeo_city
Patra,Greece,1089,1262,304,234,3250,3174,34.3,numbeo_city
Frankfurt,Germany,4025,1799,609,435,7301,15020,26.8,numbeo_city
Bilbao,Spain,3622,1706,234,187,6053,8647,41.9,numbeo_city
Vladivostok,Russia,2227,1179,280,74,3989,3574,62.3,numbeo_city
Lausanne,Switzerland,6017,3424,546,352,11025,24037,25.0,numbeo_city
Parma,Italy,2103,2057,337,164,4965,6944,30.3,numbeo_city
Gothenburg,Sweden,3379,1543,207,349,5908,12480,27.1,numbeo_city
Delft,Netherlands,2945,1402,413,243,5447,13423,21.9,numbeo_city
Nuremberg,Germany,2133,1379,432,374,4722,13526,15.8,numbeo_city
Wolverhampton,United Kingdom,2883,1864,343,519,6133,8378,34.4,numbeo_city
Hannover,Germany,2355,1449,410,327,4945,11817,19.9,numbeo_city
Brussels,Belgium,3619,2057,372,234,6771,12314,29.4,numbeo_city
Siena,Italy,3038,2010,577,171,6078,6684,45.5,numbeo_city
Lublin,Poland,1930,800,293,119,3337,3833,50.4,numbeo_city
Trieste,Italy,2466,2057,371,167,5371,7079,34.8,numbeo_city
Graz,Austria,2435,1543,443,253,5123,10311,23.6,numbeo_city
Oxford,United Kingdom,5162,1891,353,358,8184,14504,35.6,numbeo_city
Copenhagen,Denmark,5754,2765,362,339,9801,16182,35.6,numbeo_city
Aarhus,Denmark,2973,2703,322,251,6760,15370,19.3,numbeo_city
Reading,United Kingdom,4616,2810,398,324,8552,12290,37.6,numbeo_city
Barcelona,Spain,3781,1869,303,187,6507,8659,43.7,numbeo_city
Linz,Austria,2705,1916,377,234,5669,9856,27.4,numbeo_city
Pescara,Italy,2025,2244,364,161,5078,5943,34.1,numbeo_city
Luton,United Kingdom,3536,1729,422,364,6542,9549,37.0,numbeo_city
Gottingen,Germany,2010,1402,451,244,4466,12321,16.3,numbeo_city
Nottingham,United Kingdom,2868,1837,243,324,5714,10562,27.2,numbeo_city
Cologne,Germany,3067,1682,498,444,6085,11002,27.9,numbeo_city
Venice,Italy,2804,2057,502,173,5871,7245,38.7,numbeo_city
Enschede,Netherlands,3713,1963,364,271,6755,14085,26.4,numbeo_city
Novi Sad,Serbia,1274,741,258,100,2575,2720,46.8,numbeo_city
Tomsk,Russia,1181,958,221,136,2699,2927,40.3,numbeo_city
Hamburg,Germany,3747,1823,510,430,6975,14075,26.6,numbeo_city
Berlin,Germany,4290,1682,545,397,7356,13889,30.9,numbeo_city
Poznan,Poland,1928,899,231,120,3407,4306,44.8,numbeo_city
Porto,Portugal,2765,1215,212,187,4683,4579,60.4,numbeo_city
Norwich,United Kingdom,3649,2379,317,350,7087,10403,35.1,numbeo_city
Kingston upon Hull,United Kingdom,2185,1573,327,306,4828,8018,27.3,numbeo_city
Manchester,United Kingdom,3585,2270,443,395,7104,12319,29.1,numbeo_city
Turin,Italy,1949,1706,339,178,4450,7230,27.0,numbeo_city
Madrid,Spain,3724,1589,295,255,6213,9102,40.9,numbeo_city
Aveiro,Portugal,2298,935,190,140,3854,3783,60.7,numbeo_city
Dresden,Germany,2064,1356,442,297,4536,11442,18.0,numbeo_city
Valletta,Malta,3710,2431,282,122,7059,5255,70.6,numbeo_city
Kharkiv,Ukraine,952,581,185,27,1845,1789,53.2,numbeo_city
Darmstadt,Germany,3064,2290,411,304,6493,13820,22.2,numbeo_city
Palermo,Italy,1636,1402,360,171,3859,5921,27.6,numbeo_city
Belfast,United Kingdom,3129,2324,244,297,6441,10255,30.5,numbeo_city
Tyumen,Russia,1308,1224,184,128,3052,3517,37.2,numbeo_city
Paris,France,4402,1963,356,351,7492,12335,35.7,numbeo_city
Verona,Italy,2415,1870,289,173,5036,7218,33.5,numbeo_city
Mannheim,Germany,2239,1590,487,351,5063,13399,16.7,numbeo_city
Glasgow,United Kingdom,3267,2270,396,432,6788,13084,25.0,numbeo_city
Oulu,Finland,2314,1701,184,245,4885,11882,19.5,numbeo_city
Lviv,Ukraine,1167,584,124,28,2016,2036,57.3,numbeo_city
Valladolid,Spain,1753,1309,200,206,3763,7346,23.9,numbeo_city
Middlesbrough,United Kingdom,2471,1540,584,338,5407,12432,19.9,numbeo_city
Ulm,Germany,3622,1636,442,290,6378,14548,24.9,numbeo_city
Salzburg,Austria,3568,1916,501,187,6577,10923,32.7,numbeo_city
Kosice,Slovakia,2064,855,454,117,3748,4253,48.5,numbeo_city
Stavanger,Norway,3534,2624,386,271,7451,14692,24.1,numbeo_city
Guildford,United Kingdom,5360,2270,456,343,8855,17010,31.5,numbeo_city
Gent,Belgium,3380,2174,338,229,6580,9725,34.8,numbeo_city
Cluj-Napoca,Romania,1416,1008,260,88,2961,3876,36.5,numbeo_city
Freiburg im Breisgau,Germany,3140,1636,494,299,5982,12067,26.0,numbeo_city
Nantes,France,2413,1776,312,257,5131,10081,23.9,numbeo_city
Lecce,Italy,2045,1870,186,164,4539,5648,36.2,numbeo_city
Utrecht,Netherlands,4835,2150,457,421,8329,14479,33.4,numbeo_city
Bratislava,Slovakia,2277,1169,384,140,4252,5675,40.1,numbeo_city
Limerick,Ireland,4285,2057,291,312,7465,13638,31.4,numbeo_city
Bradford,United Kingdom,2368,1513,274,310,4843,8378,28.3,numbeo_city
Chelmsford,United Kingdom,4257,2379,351,463,7887,11733,36.3,numbeo_city
Vilnius,Lithuania,2368,1356,351,136,4480,5676,41.7,numbeo_city
Bordeaux,France,2834,1986,287,187,5735,11020,25.7,numbeo_city
